a_sku_id,b_url,c_price,c_price1,c_price2_x,c_price3_x,c_price4_x,c_price5_x,c_price6_x,c_price7_x,c_price8_x,c_price9_x,c_price10_x,c_price2_y,c_price3_y,c_price4_y,c_price5_y,c_price6_y,c_price7_y,c_price8_y,c_price9_y,c_price10_y,c_price2,d2018-11-02 10:28:55
749131,http://www.banggo.com/goods/749131.shtml,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,107.9,107.9,199.0
749135,http://www.banggo.com/goods/749135.shtml,99.9,99.9,99.9,99.9,99.9,99.9,99.9,89.9,169.0,,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0
749136,http://www.banggo.com/goods/749136.shtml,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,169.0,,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0
749139,http://www.banggo.com/goods/749139.shtml,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,169.0,,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0
749140,http://www.banggo.com/goods/749140.shtml,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9
749144,http://www.banggo.com/goods/749144.shtml,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,145.9,153.9,269.0
749145,http://www.banggo.com/goods/749145.shtml,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,107.9,107.9,199.0
749146,http://www.banggo.com/goods/749146.shtml,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,107.9,113.9,199.0
753393,http://www.banggo.com/goods/753393.shtml,78.9,78.9,78.9,78.9,78.9,78.9,78.9,71.9,71.9,,71.9,71.9,71.9,78.9,78.9,71.9,71.9,78.9,78.9,71.9,71.9,78.9
753457,http://www.banggo.com/goods/753457.shtml,78.9,78.9,78.9,78.9,78.9,78.9,78.9,71.9,71.9,,71.9,71.9,78.9,78.9,78.9,71.9,71.9,78.9,78.9,71.9,71.9,239.0
723050,http://www.banggo.com/goods/723050.shtml,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,101.9,106.9,106.9
723055,http://www.banggo.com/goods/723055.shtml,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9
